LA LAKERS,FG,3P,FGA,OppFG,Opp3P,OppFGA,FTA,TOV,OppFTA,OppTOV,ORB,OppDRB,DRB,OppORB,FT,OppFT
2021-2022,3415,982,7279,3491,1032,7424,1884,1191,1911,1152,782,2920,2826,902,1380,1428
2022-2023,2829,695,5916,2906,837,6219,1731,932,1425,835,646,2274,2381,738,1345,1098
