,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
0,1630639,A.J. Lawson,1610612742,DAL,22.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,13,2.6,0.8,0.1,-10.9,0.028,0.151,0.182,0.622,0.029
1,1631260,AJ Green,1610612749,MIL,23.0,6-5,77,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,30,4.6,1.2,0.6,-5.9,0.016,0.094,0.163,0.633,0.099
2,1631100,AJ Griffin,1610612737,ATL,19.0,6-6,78,220,Duke,USA,2022,1,16,59,8.9,2.0,1.0,-0.6,0.022,0.077,0.172,0.579,0.07
3,203932,Aaron Gordon,1610612743,DEN,27.0,6-8,80,235,Arizona,USA,2014,1,4,55,16.9,6.8,2.9,13.7,0.09,0.145,0.208,0.638,0.127
4,1628988,Aaron Holiday,1610612737,ATL,26.0,6-0,72,185,UCLA,USA,2018,1,23,52,4.1,1.3,1.3,-0.5,0.027,0.062,0.128,0.529,0.115
5,1630174,Aaron Nesmith,1610612754,IND,23.0,6-5,77,215,Vanderbilt,USA,2020,1,14,58,9.6,3.8,1.2,-1.3,0.032,0.12,0.166,0.551,0.066
6,1630598,Aaron Wiggins,1610612760,OKC,24.0,6-5,77,190,Maryland,USA,2021,2,55,54,6.9,3.1,1.3,0.8,0.054,0.108,0.143,0.592,0.092
7,1629678,Admiral Schofield,1610612753,ORL,25.0,6-5,77,241,Tennessee,United Kingdom,2019,2,42,31,4.2,1.7,0.8,-5.7,0.048,0.096,0.127,0.624,0.101
8,201143,Al Horford,1610612738,BOS,36.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,52,10.0,6.3,2.8,6.6,0.04,0.16,0.118,0.637,0.12
9,202692,Alec Burks,1610612765,DET,31.0,6-6,78,214,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1.0,0.017,0.124,0.218,0.602,0.15
10,1630197,Aleksej Pokusevski,1610612760,OKC,21.0,7-0,84,210,None,Serbia,2020,1,17,31,8.8,5.1,2.0,-12.6,0.06,0.163,0.179,0.53,0.131
11,1627936,Alex Caruso,1610612741,CHI,29.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,56,5.6,3.1,3.1,5.9,0.027,0.106,0.11,0.578,0.164
12,203458,Alex Len,1610612758,SAC,29.0,7-2,86,250,Maryland,Ukraine,2013,1,5,16,0.8,0.9,0.3,-12.0,0.077,0.183,0.14,0.553,0.143
13,1628993,Alize Johnson,1610612759,SAS,26.0,6-8,80,212,Missouri State,USA,2018,2,50,4,1.8,2.5,0.3,19.0,0.063,0.211,0.145,0.509,0.042
14,1631214,Alondes Williams,1610612751,BKN,23.0,6-4,76,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,0.0,-53.0,0.0,0.25,0.143,0.0,0.0
15,1630578,Alperen Sengun,1610612745,HOU,20.0,6-11,83,243,None,Turkey,2021,1,16,61,14.8,8.8,3.8,-8.5,0.11,0.201,0.215,0.605,0.203
16,1629599,Amir Coffey,1610612746,LAC,25.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,43,3.8,1.2,1.2,-8.3,0.027,0.056,0.128,0.491,0.121
17,203083,Andre Drummond,1610612741,CHI,29.0,6-11,83,279,Connecticut,USA,2012,1,9,53,6.1,6.7,0.6,3.3,0.16,0.347,0.196,0.61,0.064
18,2738,Andre Iguodala,1610612744,GSW,39.0,6-6,78,215,Arizona,USA,2004,1,9,6,1.5,1.7,2.3,8.7,0.012,0.099,0.085,0.45,0.179
19,1629614,Andrew Nembhard,1610612754,IND,23.0,6-3,75,191,Gonzaga,Canada,2022,2,31,60,8.0,2.7,3.9,-4.2,0.017,0.081,0.145,0.514,0.193
20,203952,Andrew Wiggins,1610612744,GSW,28.0,6-7,79,197,Kansas,Canada,2014,1,1,37,17.1,5.0,2.3,5.2,0.05,0.101,0.212,0.564,0.1
21,1629014,Anfernee Simons,1610612757,POR,23.0,6-3,75,181,None,USA,2018,1,24,58,21.3,2.7,4.1,-1.1,0.008,0.068,0.247,0.587,0.186
22,203076,Anthony Davis,1610612747,LAL,29.0,6-10,82,253,Kentucky,USA,2012,1,1,42,26.1,12.4,2.5,2.8,0.095,0.252,0.28,0.631,0.128
23,1630162,Anthony Edwards,1610612750,MIN,21.0,6-4,76,225,Georgia,USA,2020,1,1,68,24.8,5.9,4.4,0.9,0.016,0.14,0.29,0.566,0.189
24,1630264,Anthony Gill,1610612764,WAS,30.0,6-8,80,230,Virginia,USA,Undrafted,Undrafted,Undrafted,44,3.1,1.5,0.5,-0.7,0.058,0.092,0.108,0.65,0.066
25,1630237,Anthony Lamb,1610612744,GSW,25.0,6-6,78,227,Vermont,USA,Undrafted,Undrafted,Undrafted,50,7.0,3.4,1.7,1.3,0.044,0.123,0.136,0.616,0.121
26,1630559,Austin Reaves,1610612747,LAL,24.0,6-5,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,49,11.2,2.9,2.7,1.5,0.019,0.076,0.143,0.662,0.126
27,203085,Austin Rivers,1610612750,MIN,30.0,6-4,76,200,Duke,USA,2012,1,10,50,5.1,1.6,1.5,-5.0,0.005,0.078,0.104,0.569,0.095
