,PLAYER_NAME,GAME_DATE,RUNNING_HOT_IDX,RUNNING_HOT,OUT_NEXT_GAME
0,Luka Doncic,2022-04-10T00:00:00,9.0,False,0
1,Luka Doncic,2022-04-08T00:00:00,8.7,False,0
2,Luka Doncic,2022-04-06T00:00:00,3.3,False,0
3,Luka Doncic,2022-04-03T00:00:00,12.2,False,0
4,Luka Doncic,2022-04-01T00:00:00,33.5,False,0
5,Luka Doncic,2022-03-30T00:00:00,57.9,True,0
6,Luka Doncic,2022-03-29T00:00:00,25.3,False,0
7,Luka Doncic,2022-03-27T00:00:00,69.9,True,0
8,Luka Doncic,2022-03-25T00:00:00,54.4,True,0
9,Luka Doncic,2022-03-21T00:00:00,68.3,True,1
10,Luka Doncic,2022-03-19T00:00:00,18.0,False,0
11,Luka Doncic,2022-03-18T00:00:00,22.6,False,0
12,Luka Doncic,2022-03-16T00:00:00,6.7,False,0
13,Luka Doncic,2022-03-13T00:00:00,23.2,False,0
14,Luka Doncic,2022-03-11T00:00:00,28.9,False,0
15,Luka Doncic,2022-03-09T00:00:00,26.1,False,0
16,Luka Doncic,2022-03-07T00:00:00,7.4,False,0
17,Luka Doncic,2022-03-03T00:00:00,30.0,False,1
18,Luka Doncic,2022-03-01T00:00:00,0.0,False,0
19,Luka Doncic,2022-02-27T00:00:00,0.0,False,0
20,Luka Doncic,2022-02-25T00:00:00,0.0,False,0
21,Luka Doncic,2022-02-17T00:00:00,0.0,False,0
22,Luka Doncic,2022-02-15T00:00:00,0.1,False,0
23,Luka Doncic,2022-02-12T00:00:00,0.1,False,0
24,Luka Doncic,2022-02-10T00:00:00,0.0,False,0
25,Luka Doncic,2022-02-08T00:00:00,0.1,False,0
26,Luka Doncic,2022-02-06T00:00:00,1.2,False,0
27,Luka Doncic,2022-02-04T00:00:00,0.1,False,0
28,Luka Doncic,2022-02-02T00:00:00,0.4,False,0
29,Luka Doncic,2022-01-30T00:00:00,1.3,False,0
30,Luka Doncic,2022-01-29T00:00:00,1.8,False,0
31,Luka Doncic,2022-01-26T00:00:00,7.3,False,0
32,Luka Doncic,2022-01-25T00:00:00,30.6,False,0
33,Luka Doncic,2022-01-23T00:00:00,3.5,False,0
34,Luka Doncic,2022-01-20T00:00:00,13.5,False,0
35,Luka Doncic,2022-01-19T00:00:00,7.5,False,0
36,Luka Doncic,2022-01-17T00:00:00,6.5,False,0
37,Luka Doncic,2022-01-15T00:00:00,67.1,True,0
38,Luka Doncic,2022-01-14T00:00:00,20.1,False,0
39,Luka Doncic,2022-01-12T00:00:00,38.7,False,0
40,Luka Doncic,2022-01-09T00:00:00,90.8,True,0
41,Luka Doncic,2022-01-05T00:00:00,69.9,True,1
42,Luka Doncic,2022-01-03T00:00:00,0.9,False,0
43,Luka Doncic,2022-01-02T00:00:00,1.8,False,0
44,Luka Doncic,2021-12-10T00:00:00,70.2,True,1
45,Luka Doncic,2021-12-08T00:00:00,45.8,False,0
46,Luka Doncic,2021-12-07T00:00:00,35.4,False,0
47,Luka Doncic,2021-12-03T00:00:00,67.6,True,1
48,Luka Doncic,2021-12-01T00:00:00,9.2,False,0
49,Luka Doncic,2021-11-29T00:00:00,35.1,False,0
50,Luka Doncic,2021-11-27T00:00:00,11.0,False,0
51,Luka Doncic,2021-11-23T00:00:00,11.7,False,0
52,Luka Doncic,2021-11-15T00:00:00,75.0,True,1
53,Luka Doncic,2021-11-12T00:00:00,0.0,False,0
54,Luka Doncic,2021-11-10T00:00:00,0.0,False,0
55,Luka Doncic,2021-11-08T00:00:00,0.0,False,0
56,Luka Doncic,2021-11-06T00:00:00,0.0,False,0
57,Luka Doncic,2021-11-03T00:00:00,0.0,False,0
58,Luka Doncic,2021-11-02T00:00:00,0.0,False,0
59,Luka Doncic,2021-10-31T00:00:00,0.0,False,0
60,Luka Doncic,2021-10-29T00:00:00,0.0,False,0
61,Luka Doncic,2021-10-28T00:00:00,0.0,False,0
62,Luka Doncic,2021-10-26T00:00:00,0.0,False,0
63,Luka Doncic,2021-10-23T00:00:00,0.0,False,0
64,Luka Doncic,2021-10-21T00:00:00,0.0,False,0
