"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast","idTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","hasHeadShot","hasThumbnail","hasAction","urlPlayerPhoto"
"1436",FALSE,FALSE,"Vern Gardner",76779,2,1949,1951,NA,FALSE,"https://stats.nba.com/player/76779","https://stats.nba.com/media/players/230x185/76779.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76779.png","https://stats.nba.com/media/players/700/76779.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76779.png"
"1437",FALSE,FALSE,"Jack Garfinkel",76780,2,1946,1948,NA,FALSE,"https://stats.nba.com/player/76780","https://stats.nba.com/media/players/230x185/76780.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76780.png","https://stats.nba.com/media/players/700/76780.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76780.png"
"1438",FALSE,FALSE,"Patricio Garino",1627868,0,2016,2016,NA,FALSE,"https://stats.nba.com/player/1627868","https://stats.nba.com/media/players/230x185/1627868.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627868.png","https://stats.nba.com/media/players/700/1627868.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627868.png"
"1439",TRUE,FALSE,"Darius Garland",1629636,3,2019,2022,NA,FALSE,"https://stats.nba.com/player/1629636","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png","https://stats.nba.com/media/players/700/1629636.png",NA,NA,NA,"https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"1440",FALSE,FALSE,"Gary Garland",76781,0,1979,1979,NA,FALSE,"https://stats.nba.com/player/76781","https://stats.nba.com/media/players/230x185/76781.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76781.png","https://stats.nba.com/media/players/700/76781.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76781.png"
"1441",FALSE,FALSE,"Winston Garland",76782,7,1987,1994,NA,FALSE,"https://stats.nba.com/player/76782","https://stats.nba.com/media/players/230x185/76782.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76782.png","https://stats.nba.com/media/players/700/76782.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76782.png"
"1442",FALSE,FALSE,"Dick Garmaker",76783,5,1955,1960,NA,FALSE,"https://stats.nba.com/player/76783","https://stats.nba.com/media/players/230x185/76783.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76783.png","https://stats.nba.com/media/players/700/76783.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76783.png"
"1443",FALSE,FALSE,"Chris Garner",1612,3,1997,2000,NA,FALSE,"https://stats.nba.com/player/1612","https://stats.nba.com/media/players/230x185/1612.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1612.png","https://stats.nba.com/media/players/700/1612.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1612.png"
"1444",FALSE,FALSE,"Bill Garnett",76785,3,1982,1985,NA,FALSE,"https://stats.nba.com/player/76785","https://stats.nba.com/media/players/230x185/76785.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76785.png","https://stats.nba.com/media/players/700/76785.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76785.png"
"1445",FALSE,FALSE,"Kevin Garnett",708,20,1995,2015,NA,FALSE,"https://stats.nba.com/player/708","https://stats.nba.com/media/players/230x185/708.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/708.png","https://stats.nba.com/media/players/700/708.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/708.png"
"1446",FALSE,FALSE,"Marlon Garnett",1831,0,1998,1998,NA,FALSE,"https://stats.nba.com/player/1831","https://stats.nba.com/media/players/230x185/1831.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1831.png","https://stats.nba.com/media/players/700/1831.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1831.png"
"1447",FALSE,FALSE,"Billy Garrett",1628656,0,2018,2018,NA,FALSE,"https://stats.nba.com/player/1628656","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628656.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628656.png","https://stats.nba.com/media/players/700/1628656.png",NA,NA,NA,"https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"1448",FALSE,FALSE,"Calvin Garrett",76786,3,1980,1983,NA,FALSE,"https://stats.nba.com/player/76786","https://stats.nba.com/media/players/230x185/76786.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76786.png","https://stats.nba.com/media/players/700/76786.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76786.png"
"1449",FALSE,FALSE,"Dean Garrett",1051,5,1996,2001,NA,FALSE,"https://stats.nba.com/player/1051","https://stats.nba.com/media/players/230x185/1051.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1051.png","https://stats.nba.com/media/players/700/1051.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1051.png"
"1450",FALSE,FALSE,"Diante Garrett",203197,1,2012,2013,NA,FALSE,"https://stats.nba.com/player/203197","https://stats.nba.com/media/players/230x185/203197.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203197.png","https://stats.nba.com/media/players/700/203197.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/203197.png"
"1451",FALSE,FALSE,"Eldo Garrett",76788,4,1969,1973,NA,FALSE,"https://stats.nba.com/player/76788","https://stats.nba.com/media/players/230x185/76788.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76788.png","https://stats.nba.com/media/players/700/76788.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76788.png"
"1452",FALSE,FALSE,"Marcus Garrett",1630585,0,2021,2021,NA,FALSE,"https://stats.nba.com/player/1630585","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630585.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630585.png","https://stats.nba.com/media/players/700/1630585.png",NA,NA,NA,"https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"1453",FALSE,FALSE,"Rowland Garrett",76789,4,1972,1976,NA,FALSE,"https://stats.nba.com/player/76789","https://stats.nba.com/media/players/230x185/76789.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76789.png","https://stats.nba.com/media/players/700/76789.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76789.png"
"1454",FALSE,FALSE,"Tom Garrick",76790,3,1988,1991,NA,FALSE,"https://stats.nba.com/player/76790","https://stats.nba.com/media/players/230x185/76790.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76790.png","https://stats.nba.com/media/players/700/76790.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76790.png"
"1455",FALSE,FALSE,"John Garris",76791,0,1983,1983,NA,FALSE,"https://stats.nba.com/player/76791","https://stats.nba.com/media/players/230x185/76791.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76791.png","https://stats.nba.com/media/players/700/76791.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76791.png"
"1456",FALSE,FALSE,"Kiwane Garris",1619,5,1997,2002,NA,FALSE,"https://stats.nba.com/player/1619","https://stats.nba.com/media/players/230x185/1619.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1619.png","https://stats.nba.com/media/players/700/1619.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1619.png"
"1457",FALSE,FALSE,"Pat Garrity",1727,9,1998,2007,NA,FALSE,"https://stats.nba.com/player/1727","https://stats.nba.com/media/players/230x185/1727.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1727.png","https://stats.nba.com/media/players/700/1727.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1727.png"
"1458",TRUE,FALSE,"Usman Garuba",1630586,1,2021,2022,NA,FALSE,"https://stats.nba.com/player/1630586","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630586.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630586.png","https://stats.nba.com/media/players/700/1630586.png",NA,NA,NA,"https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"1459",FALSE,FALSE,"Jim Garvin",76793,0,1973,1973,NA,FALSE,"https://stats.nba.com/player/76793","https://stats.nba.com/media/players/230x185/76793.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76793.png","https://stats.nba.com/media/players/700/76793.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76793.png"
"1460",TRUE,FALSE,"Luka Garza",1630568,1,2021,2022,NA,FALSE,"https://stats.nba.com/player/1630568","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png","https://stats.nba.com/media/players/700/1630568.png",NA,NA,NA,"https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"1461",FALSE,FALSE,"Marc Gasol",201188,12,2008,2020,NA,FALSE,"https://stats.nba.com/player/201188","https://stats.nba.com/media/players/230x185/201188.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png","https://stats.nba.com/media/players/700/201188.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png"
"1462",FALSE,FALSE,"Pau Gasol",2200,17,2001,2018,NA,FALSE,"https://stats.nba.com/player/2200","https://stats.nba.com/media/players/230x185/2200.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png","https://stats.nba.com/media/players/700/2200.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png"
